spkid,targetname,datetime_jd,e,a,incl,q,M,pha,H,diameter,albedo,moid
20004179,4179 Toutatis (1989 AC),2460780.5,0.6248024229826745,2.543469006530224,0.4480542491738136,0.954303408468804,23.41375484900384,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460810.5,0.6247926031904503,2.543328331478735,0.4480605186561312,0.9542756024861117,30.70607875264461,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460840.5,0.6247864554304527,2.54322208122621,0.4480682420987854,0.9542513717244268,37.998753496585,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460870.5,0.6247821800252391,2.543145388187573,0.4480801103680305,0.9542334684346075,45.29150587954403,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460900.5,0.6247775460454291,2.543102559896222,0.4480937567103471,0.9542291831824116,52.58388668672148,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460930.5,0.6247687698444983,2.543080429892796,0.4480919302696184,0.9542431980930556,59.87617788468341,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460960.5,0.6247571317170818,2.543056689032642,0.4480845668377108,0.9542638861986694,67.16908273694503,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460990.5,0.6247446772466138,2.543035118547275,0.44807990665055,0.9542874641836532,74.46234756058074,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2461020.5,0.6247311820096242,2.543019034229123,0.4480727113710637,0.9543157471021906,81.75580418752891,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2461050.5,0.6247191580784327,2.543003709493874,0.4480748619906363,0.95434057310853,89.04943565118131,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2461080.5,0.6247071633405659,2.54299935982163,0.4480845085705301,0.9543694433705842,96.3425990924385,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2461110.5,0.6246908996865762,2.543008587913893,0.4480880211389566,0.9544142652192728,103.6354445886866,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2461140.5,0.6246722641082257,2.543020271558333,0.4480900982601612,0.9544660408508744,110.9285966116196,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2461170.5,0.6246519018361331,2.543034041001643,0.4480896869179245,0.9545229908559404,118.2220451682393,Y,15.29,5.4,0.405,0.00651
20099942,99942 Apophis (2004 MN4),2457540.5,0.1915612294050489,0.922606422664193,3.336693943329032,0.7458708020816461,64.2641755550748,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457570.5,0.1915485585390948,0.9226135018958924,3.336629843637593,0.7458882155190277,97.62811806028684,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457600.5,0.1915413752470436,0.922615356327116,3.336625983189242,0.7458963421521791,130.9943739956824,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457630.5,0.1915341755075113,0.9226208590379702,3.336632044809837,0.7459074334961009,164.3590646198223,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457660.5,0.1915251006620056,0.9226276722388634,3.336658158386118,0.7459213144397633,197.7218019938101,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457690.5,0.1915191169985696,0.9226284130687468,3.336699469533167,0.7459274340800288,231.0831774152964,Y,19.09,0.34,0.35,0.000361
20099942,99942 Apophis (2004 MN4),2457720.5,0.191516715273176,0.9226197945909754,3.336745018819092,0.7459226820848995,264.4433566317383,Y,19.09,0.34,0.35,0.000361
